name,color,colorHex,surfaceType,roomType,finish,features,line
Toque de Seda - Jade Claro,Jade Claro,#96E9B1,teto,escritório,acetinado,,Toque de Seda
Fosco Completo - Dourado Vibrante,Dourado Vibrante,#F4D125,teto,geral,fosco,"antimofo, baixo odor, interior/exterior",Fosco Completo
Clássica - Pêssego Natural,Pêssego Natural,#D9AC8C,parede,geral,fosco,"alto rendimento, antimofo, lavável",Clássica
Rende & Cobre - Vermelho Suave,Vermelho Suave,#CE7E7E,parede,sala,fosco,"alto rendimento, antimofo, hidrorrepelente, lavável",Rende & Cobre
Superlavável - Oliva Intenso,Oliva Intenso,#9FDF20,parede,cozinha,semibrilho,"alto rendimento, hidrorrepelente, lavável, secagem rápida",Superlavável
Proteção Total - Coral Suave,Coral Suave,#D9B3A6,teto,área externa,semibrilho,"alto rendimento, hidrorrepelente, interior/exterior, lavável",Proteção Total
Epóxi - Lima Vibrante,Lima Vibrante,#C0F425,azulejo/cerâmica,cozinha,brilhante,"lavável, secagem rápida",Epóxi
Multissuperfícies - Amarelo Intenso,Amarelo Intenso,#ECCF13,metal,escritório,semibrilho,"alto rendimento, baixo odor",Multissuperfícies
Efeito Cimento Queimado - Aqua Sereno,Aqua Sereno,#8CD9D2,parede,sala,fosco,hidrorrepelente,Efeito Cimento Queimado
Toque de Seda - Céu Claro,Céu Claro,#96C6E9,parede,escritório,acetinado,antimofo,Toque de Seda
Fosco Completo - Esmeralda Quente,Esmeralda Quente,#36E270,teto,quarto,fosco,"alto rendimento, antimofo, baixo odor, secagem rápida",Fosco Completo
Clássica - Jade Natural,Jade Natural,#61D186,parede,geral,fosco,"alto rendimento, antimofo",Clássica
Rende & Cobre - Terracota Escuro,Terracota Escuro,#93421F,parede,geral,fosco,"antimofo, baixo odor",Rende & Cobre
Superlavável - Jade Profundo,Jade Profundo,#1DC956,parede,banheiro,semibrilho,"alto rendimento, hidrorrepelente, lavável",Superlavável
Proteção Total - Dourado Natural,Dourado Natural,#D1BE61,parede,área externa,semibrilho,"alto rendimento, baixo odor, hidrorrepelente, lavável",Proteção Total
Epóxi - Terracota Vibrante,Terracota Vibrante,#F46325,piso,banheiro,brilhante,"antimofo, hidrorrepelente, lavável, secagem rápida",Epóxi
Multissuperfícies - Grafite Intenso,Grafite Intenso,#304050,madeira,geral,semibrilho,"baixo odor, secagem rápida",Multissuperfícies
Efeito Cimento Queimado - Verde Natural,Verde Natural,#61D161,piso,escritório,fosco,,Efeito Cimento Queimado
Toque de Seda - Âmbar Escuro,Âmbar Escuro,#93761F,parede,quarto,acetinado,,Toque de Seda
Fosco Completo - Anil Suave,Anil Suave,#7E8BCE,parede,geral,fosco,"antimofo, baixo odor",Fosco Completo
Clássica - Índigo Pastel,Índigo Pastel,#CDCFE4,parede,geral,fosco,"antimofo, baixo odor",Clássica
Rende & Cobre - Laranja Quente,Laranja Quente,#E28C36,parede,geral,fosco,"antimofo, baixo odor",Rende & Cobre
Superlavável - Marrom Suave,Marrom Suave,#C5A187,parede,cozinha,semibrilho,"alto rendimento, antibacteriana, hidrorrepelente, lavável",Superlavável
Proteção Total - Roxo Suave,Roxo Suave,#A67ECE,teto,área externa,semibrilho,"alto rendimento, hidrorrepelente, interior/exterior, lavável",Proteção Total
Epóxi - Mostarda Vibrante,Mostarda Vibrante,#E8C330,piso,cozinha,brilhante,"hidrorrepelente, lavável, secagem rápida",Epóxi
Multissuperfícies - Bronze Claro,Bronze Claro,#E2BD9C,parede,escritório,semibrilho,,Multissuperfícies
Efeito Cimento Queimado - Coral Profundo,Coral Profundo,#DD673C,piso,sala,fosco,"antibacteriana, secagem rápida",Efeito Cimento Queimado
Toque de Seda - Jade Sereno,Jade Sereno,#8CD9A6,teto,sala,acetinado,lavável,Toque de Seda
Fosco Completo - Turquesa Frio,Turquesa Frio,#47D1AF,teto,quarto,fosco,"alto rendimento, antibacteriana, baixo odor, hidrorrepelente",Fosco Completo
Clássica - Bronze Natural,Bronze Natural,#C7966B,parede,geral,fosco,"antimofo, baixo odor, secagem rápida",Clássica
Rende & Cobre - Vinho Natural,Vinho Natural,#D16199,parede,geral,fosco,"alto rendimento, antimofo",Rende & Cobre
Superlavável - Âmbar Intenso,Âmbar Intenso,#ECB613,parede,banheiro,semibrilho,"alto rendimento, hidrorrepelente, lavável",Superlavável
Proteção Total - Vinho Quente,Vinho Quente,#E2368C,exterior,área externa,semibrilho,"alto rendimento, hidrorrepelente, interior/exterior, lavável",Proteção Total
Epóxi - Cobre Frio,Cobre Frio,#C67953,piso,banheiro,brilhante,"hidrorrepelente, lavável, secagem rápida",Epóxi
Multissuperfícies - Bege Profundo,Bege Profundo,#BD9128,madeira,geral,semibrilho,baixo odor,Multissuperfícies
Efeito Cimento Queimado - Violeta Claro,Violeta Claro,#CD96E9,piso,escritório,fosco,antimofo,Efeito Cimento Queimado
Toque de Seda - Laranja Intenso,Laranja Intenso,#EC7F13,teto,quarto,acetinado,hidrorrepelente,Toque de Seda
Fosco Completo - Jade Escuro,Jade Escuro,#1F9346,parede,geral,fosco,"antimofo, baixo odor",Fosco Completo
